FechaReserva,IdCliente,IdCancha,IdHorario,IdEmpleado
2023-07-23,171,4,11,1
2023-07-07,77,4,1,5
2024-04-30,323,1,4,1
2024-11-26,110,5,7,2
2024-03-30,112,3,11,2
2024-05-26,272,5,9,4
2024-09-09,170,5,2,4
2024-07-25,241,3,3,3
2024-01-31,434,2,5,2
2023-07-16,97,4,11,3
2024-06-03,186,2,4,3
2024-05-12,233,5,2,5
2023-07-26,378,1,9,5
2024-11-04,125,4,11,1
2023-08-04,318,4,10,4
2024-11-11,491,4,7,3
2024-10-27,260,1,11,3
2023-11-24,,4,12,3
2024-10-05,278,4,5,5
2024-01-19,74,4,12,2
2024-02-12,279,2,3,4
2024-03-13,18,1,11,5
2024-03-25,205,5,1,3
2024-07-18,493,5,7,2
2024-10-25,151,1,9,5
2024-01-16,314,3,1,3
2024-08-12,335,2,6,3
2024-11-20,223,5,5,1
2024-03-15,130,4,9,2
2024-06-21,110,3,7,2
2024-01-20,125,1,4,2
2024-08-05,102,1,8,3
2024-02-06,265,4,5,1
2023-08-06,68,5,3,2
2024-06-06,86,2,10,1
2023-09-21,401,5,12,2
2024-04-16,44,1,5,1
2023-07-22,303,3,2,4
2024-02-08,413,1,3,3
2023-11-29,305,4,6,2
2024-05-18,31,4,5,5
2024-01-12,394,2,4,4
2023-09-27,476,1,8,3
2024-12-04,256,2,6,4
2023-10-08,88,4,1,4
2024-05-27,50,4,10,4
2024-08-24,216,3,11,3
2023-12-31,10,3,1,5
2024-08-11,110,4,5,5
2023-12-20,482,4,5,2
2024-08-30,307,5,10,3
2024-04-16,241,2,6,2
2024-01-31,38,4,8,5
2024-05-03,287,4,1,2
2023-09-22,441,5,2,2
2023-12-03,20,1,5,1
2023-07-29,499,1,7,2
2023-11-07,409,1,2,3
2024-05-23,393,3,7,2
2023-10-17,122,5,6,5
2024-01-31,418,3,5,1
2024-01-15,460,5,9,1
2024-08-17,281,2,6,2
2024-03-19,111,3,3,1
